city,area,rooms,bathroom,parking,floor,animal,furniture,hoa,rental,property_tax,fire_insurance
Campinas,93,2,3,2,9,1,0,663,5500,133,70
Porto Alegre,75,3,2,1,9,1,0,340,1800,109,27
Sao Paulo,194,3,4,3,NaN,1,0,0,4000,70,61
Sao Paulo,41,1,1,1,6,1,1,523,4000,131,51
Rio de Janeiro,65,1,1,1,8,1,1,2000,5100,250,66
Sao Paulo,70,2,1,1,13,1,0,761,2150,67,28
Sao Paulo,278,4,5,2,16,1,1,4052,9000,1261,115
Rio de Janeiro,35,1,1,0,5,1,0,306,1521,21,20
Campinas,300,4,4,3,2,1,0,2300,6000,417,77
Sao Paulo,61,2,1,1,4,1,0,459,1850,0,24
Rio de Janeiro,130,3,2,1,7,1,0,1660,1700,475,22
Rio de Janeiro,80,2,1,1,20,1,0,500,900,90,12
Sao Paulo,164,4,4,2,6,0,0,2159,5000,386,64
Belo Horizonte,220,4,2,3,3,1,0,450,2422,125,33
Sao Paulo,45,1,1,0,NaN,1,0,0,1050,46,16
Sao Paulo,108,3,2,2,7,1,0,1290,5600,435,71
Belo Horizonte,128,1,1,0,4,1,1,418,2100,182,28
Rio de Janeiro,60,1,1,0,10,0,0,450,1800,48,24
Sao Paulo,250,4,5,4,6,1,0,2050,9800,998,125
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,33
Belo Horizonte,170,4,3,4,9,0,0,744,2700,296,36
Sao Paulo,45,1,1,0,1,0,0,300,1240,0,16
Sao Paulo,42,1,1,1,15,1,0,686,3500,123,45
Sao Paulo,164,4,4,3,1,1,0,1840,6000,550,77
Sao Paulo,70,3,1,1,1,1,0,700,1020,200,13
Porto Alegre,100,4,3,1,8,1,0,600,2200,159,33
Sao Paulo,64,2,2,2,4,1,1,1300,4500,440,58
Belo Horizonte,68,2,1,1,3,1,0,320,1200,27,16
Belo Horizonte,75,2,2,2,14,0,0,620,2500,264,34
Sao Paulo,600,4,4,4,9,1,0,7400,8500,3368,108
Sao Paulo,63,2,2,0,15,0,0,590,1550,152,20
Sao Paulo,145,3,4,3,1,0,0,1200,6000,750,77
Sao Paulo,85,2,2,2,3,0,0,1500,2800,292,36
Sao Paulo,254,4,4,4,7,1,0,3366,9000,1800,115
Porto Alegre,350,4,4,4,NaN,1,1,1,9000,359,160
Sao Paulo,300,4,4,3,NaN,1,0,0,3500,584,53
Belo Horizonte,296,4,3,2,NaN,1,0,0,13500,423,222
Sao Paulo,64,2,2,2,8,1,0,450,2800,30,36
Sao Paulo,133,3,2,0,6,1,0,813,2957,38,38
Campinas,44,1,1,0,7,1,0,350,550,12,7
Campinas,240,3,4,2,NaN,1,0,0,3000,250,46
Porto Alegre,70,3,2,1,4,1,0,490,2500,8,37
Sao Paulo,22,1,1,0,26,1,0,302,2050,45,26
Porto Alegre,50,1,1,1,1,1,0,350,950,50,14
Porto Alegre,67,3,2,2,4,1,0,600,2200,50,33
Sao Paulo,31,1,1,0,6,1,1,430,2300,0,30
Rio de Janeiro,90,2,1,1,1,1,1,850,3468,191,45
Rio de Janeiro,109,3,3,1,1,1,0,2000,3800,300,49
Belo Horizonte,400,4,2,2,NaN,0,0,0,2500,74,41
Sao Paulo,300,4,5,4,NaN,1,1,0,14000,1167,211
Campinas,284,4,3,3,4,1,0,2340,6000,483,77
Porto Alegre,70,2,1,1,3,1,1,360,2400,30,36
Rio de Janeiro,309,4,5,4,7,1,0,2661,6500,682,84
Sao Paulo,70,2,1,0,NaN,1,0,0,2100,134,32
Sao Paulo,360,3,4,1,10,1,0,2300,10000,584,127
Sao Paulo,30,1,1,1,10,0,0,886,1500,0,20
Campinas,80,2,2,2,11,1,0,832,2200,171,28
Belo Horizonte,133,4,4,3,6,0,0,1500,7000,800,94
Sao Paulo,38,1,1,1,14,0,1,1620,2800,279,36
Sao Paulo,73,2,2,1,7,1,0,1100,3500,100,45
Sao Paulo,155,3,4,2,4,1,0,1500,2000,150,26
Sao Paulo,63,2,2,1,15,1,0,357,3200,50,41
Sao Paulo,58,2,1,1,1,1,0,0,1400,0,18
Sao Paulo,48,1,1,0,9,0,1,377,3450,0,44
Sao Paulo,210,3,4,3,7,1,0,1700,2790,834,36
Belo Horizonte,100,3,2,2,2,1,0,340,1600,183,22
Sao Paulo,94,3,2,2,1,1,0,1337,3570,140,46
Sao Paulo,94,3,3,2,3,1,1,1220,5010,395,64
Sao Paulo,76,3,1,1,4,1,0,1200,2500,267,32
Sao Paulo,192,3,3,2,13,1,0,2100,7800,634,99
Sao Paulo,217,3,4,3,1,1,0,2884,6500,0,83
Sao Paulo,68,2,1,1,5,1,0,610,1400,35,18
Sao Paulo,110,3,2,2,2,1,0,1145,2400,247,31
Belo Horizonte,95,2,2,1,3,1,0,660,1600,164,22
Sao Paulo,900,4,6,8,NaN,1,0,0,15000,4417,226
Sao Paulo,34,1,1,0,5,0,0,347,1200,45,16
Sao Paulo,192,3,4,3,5,1,0,2000,8000,0,102
Porto Alegre,62,2,2,1,9,1,0,350,1800,75,27
Sao Paulo,180,3,3,4,NaN,1,0,0,3700,184,56
Campinas,44,1,1,0,3,1,1,350,916,12,12
Belo Horizonte,100,2,1,1,1,0,0,250,1700,116,23
Rio de Janeiro,140,3,3,1,24,0,0,900,1370,100,18
Sao Paulo,170,3,3,3,8,1,1,1570,2800,648,36
Sao Paulo,100,3,2,2,NaN,0,0,0,1600,150,25
Sao Paulo,75,3,2,2,4,1,0,652,1600,82,21
Rio de Janeiro,52,2,1,0,2,1,0,200,1200,43,16
Campinas,999,5,7,8,NaN,1,0,0,14000,667,211
Sao Paulo,270,4,4,4,8,1,0,2200,7000,1500,89
Belo Horizonte,50,2,1,1,1,1,0,160,930,60,13
Campinas,200,3,3,2,NaN,1,0,650,2210,184,34
Sao Paulo,71,2,2,0,16,1,0,430,1920,100,25
Sao Paulo,500,5,4,6,NaN,1,0,0,13000,250,196
Sao Paulo,60,2,1,0,NaN,1,0,0,1080,94,17
Sao Paulo,110,2,1,0,8,1,0,1100,1300,84,17
Sao Paulo,210,3,3,4,NaN,1,0,0,3294,276,50
Sao Paulo,220,3,4,3,8,1,0,2021,6000,996,77
Belo Horizonte,200,3,2,5,NaN,0,0,0,4000,204,66
Sao Paulo,130,3,4,3,2,1,0,2300,4250,502,54
Sao Paulo,65,2,2,2,7,1,1,1037,4000,245,51
Sao Paulo,96,3,2,2,17,1,0,804,3200,250,41
Sao Paulo,660,4,5,5,12,1,1,4800,20000,1750,254
Rio de Janeiro,107,3,2,0,7,1,1,1460,3200,270,42
Rio de Janeiro,105,3,2,0,1,1,0,740,2200,9,29
Rio de Janeiro,100,3,2,0,7,1,0,900,3290,109,43
Sao Paulo,287,3,4,4,NaN,1,1,0,9000,430,136
Campinas,24,1,1,0,1,0,1,230,1180,9,15
Sao Paulo,22,1,1,0,NaN,0,0,0,976,0,15
Sao Paulo,70,1,1,1,NaN,0,0,0,2529,142,39
Porto Alegre,44,1,1,1,2,1,1,250,1500,17,22
Sao Paulo,150,3,2,2,NaN,0,0,0,2500,0,38
Sao Paulo,90,1,2,2,9,1,1,998,2900,220,37
Sao Paulo,200,4,4,2,8,1,1,3000,2800,830,36
Sao Paulo,320,8,4,0,NaN,1,0,450,10500,350,158
Porto Alegre,90,2,1,1,2,0,0,550,1700,110,25
Sao Paulo,240,4,4,3,9,1,0,2500,2144,834,28
Sao Paulo,154,4,3,3,21,1,0,1684,7000,1020,89
Sao Paulo,60,2,2,2,2,1,0,2340,3230,284,41
Campinas,101,3,2,0,5,1,0,780,2380,91,31
Porto Alegre,140,3,4,2,NaN,0,0,0,3090,0,55
Sao Paulo,500,4,5,8,NaN,1,0,0,15000,1850,226
Sao Paulo,110,3,3,3,4,1,0,1195,2350,687,30
Sao Paulo,110,3,3,2,NaN,1,0,0,4800,50,73
Belo Horizonte,90,2,2,2,3,1,0,200,2000,84,27
Sao Paulo,384,4,6,4,3,0,1,3500,15000,344,191
Sao Paulo,57,2,1,1,7,1,0,570,1500,67,20
Sao Paulo,160,3,3,2,5,1,1,1650,1500,419,20
Sao Paulo,39,1,1,0,8,1,0,330,1250,19,16
Campinas,78,1,2,1,4,1,0,0,2290,143,30
Porto Alegre,36,1,1,1,NaN,1,0,0,762,15,14
Campinas,70,2,1,1,1,1,0,558,1200,0,16
Belo Horizonte,45,1,1,1,4,0,1,300,3200,0,43
Sao Paulo,200,3,4,3,1,1,0,3500,8500,1250,108
Sao Paulo,100,3,3,3,NaN,1,0,0,4300,120,65
Sao Paulo,42,1,1,1,14,0,0,0,5000,0,64
Sao Paulo,280,4,4,1,1,1,1,3000,8000,292,102
Sao Paulo,28,1,1,1,13,0,1,615,2800,42,36
Sao Paulo,30,1,1,0,NaN,0,1,296,1826,30,24
Belo Horizonte,85,3,2,1,1,1,0,337,1500,88,20
Campinas,83,1,1,1,4,0,0,500,1080,59,14
Campinas,85,3,2,2,16,1,1,550,3300,150,42
Belo Horizonte,90,3,2,2,3,1,0,325,1600,105,22
Belo Horizonte,50,2,1,0,5,1,0,0,900,100,12
Rio de Janeiro,50,1,1,0,8,1,0,600,2900,134,38
Belo Horizonte,300,3,2,3,NaN,0,0,0,6700,539,110
Porto Alegre,39,1,1,0,7,1,0,350,850,27,13
Sao Paulo,750,4,4,6,NaN,1,0,0,15000,2084,226
Porto Alegre,60,2,1,0,1,1,0,222,1100,46,17
Rio de Janeiro,68,2,1,0,4,0,0,750,1250,9,17
Sao Paulo,70,2,1,1,NaN,1,0,230,1250,50,16
Sao Paulo,90,2,2,1,6,1,1,900,6500,89,83
Rio de Janeiro,258,5,6,0,NaN,1,0,0,8700,670,133
Sao Paulo,200,2,2,6,NaN,1,0,0,4500,292,68
Sao Paulo,123,2,2,2,6,1,0,1800,2990,625,38
Sao Paulo,127,3,2,2,NaN,1,1,220,2150,67,33
Belo Horizonte,180,4,2,2,NaN,1,0,0,1800,210,30
Sao Paulo,110,3,2,0,NaN,0,0,0,2900,384,44
Rio de Janeiro,70,2,2,1,7,1,1,585,1719,77,23
Sao Paulo,35,1,1,1,8,1,1,720,3000,130,39
Sao Paulo,219,3,2,2,NaN,1,0,0,2900,150,44
Rio de Janeiro,25,1,1,0,NaN,1,0,50,700,0,10
Rio de Janeiro,170,4,5,0,10,1,0,1200,7100,639,92
Rio de Janeiro,45,1,1,0,8,1,0,900,1570,98,21
Belo Horizonte,420,4,4,2,NaN,0,0,0,7000,200,115
Porto Alegre,46,1,1,0,4,1,0,0,1040,48,16
Sao Paulo,145,3,3,2,1,1,1,1088,5800,250,74
Belo Horizonte,59,2,2,1,2,1,0,190,1100,59,15
Belo Horizonte,225,4,3,0,8,1,0,1850,7500,466,100
Sao Paulo,210,4,4,3,3,1,0,2270,4675,1110,60
Porto Alegre,76,1,1,0,NaN,1,0,209,1249,52,19
Sao Paulo,220,3,4,3,2,0,0,2500,5150,1250,66
Sao Paulo,109,3,2,2,7,1,0,1746,2500,134,32
Belo Horizonte,95,2,1,1,3,1,0,646,1000,120,14
Sao Paulo,32,1,1,0,NaN,0,0,280,1500,50,20
Sao Paulo,480,4,6,5,9,1,0,6660,15000,3063,191
Sao Paulo,53,1,1,1,3,1,0,694,4390,200,56
Sao Paulo,40,1,1,0,NaN,0,0,0,780,17,12
Sao Paulo,50,1,1,1,4,1,1,500,3223,100,41
Sao Paulo,60,1,1,0,NaN,1,0,0,1300,255,20
Porto Alegre,64,2,2,2,7,0,0,450,1500,50,22
Rio de Janeiro,140,3,3,2,4,1,1,2280,12000,535,155
Sao Paulo,121,3,3,1,12,1,0,800,2040,334,26
Campinas,43,1,1,1,4,1,1,498,2100,84,27
Sao Paulo,20,1,1,1,3,0,1,1700,1360,0,18
Campinas,58,2,1,1,3,1,0,289,950,11,13
Belo Horizonte,570,5,6,7,NaN,1,1,0,8330,873,137
Sao Paulo,88,2,1,1,2,1,0,980,2790,0,36
Sao Paulo,89,3,2,2,19,1,0,900,6000,184,77
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,33
Sao Paulo,40,1,1,0,NaN,1,0,0,1100,50,17
Rio de Janeiro,40,1,1,0,1,1,1,386,1950,91,26
Rio de Janeiro,60,1,2,1,3,1,0,400,750,80,10
Sao Paulo,25,1,1,0,14,1,0,257,1650,0,21
Porto Alegre,50,2,1,0,13,1,0,340,1130,30,17
Porto Alegre,90,3,1,0,1,1,0,145,1130,55,17
Sao Paulo,173,3,3,3,2,1,0,3000,2000,825,26
Campinas,91,3,2,2,12,1,0,700,2250,175,29
Sao Paulo,90,3,2,2,6,0,0,1710,1200,109,16
Sao Paulo,530,5,6,4,2,1,1,8300,15000,5000,191
Belo Horizonte,155,1,4,0,4,0,0,1117000,2790,64,38
Sao Paulo,40,1,1,0,NaN,0,0,0,1300,0,17
Sao Paulo,296,4,5,3,3,1,0,0,15000,0,191
Sao Paulo,87,3,2,1,17,1,0,850,1400,200,18
Sao Paulo,300,3,3,5,NaN,1,0,0,5000,584,76
Sao Paulo,136,3,3,3,13,1,0,1430,4206,364,54
Sao Paulo,52,2,1,0,4,1,0,0,1340,0,17
Porto Alegre,94,2,2,2,8,1,0,600,2900,230,43
Rio de Janeiro,300,4,5,3,7,1,0,3850,12750,750,165
Rio de Janeiro,100,3,3,1,3,1,0,850,3229,100,42
Sao Paulo,500,4,6,3,NaN,1,0,6466,7300,2536,110
Sao Paulo,240,3,4,3,3,1,1,3600,4950,1000,63
Belo Horizonte,308,2,3,3,NaN,1,0,0,2000,171,33
Sao Paulo,350,4,5,4,15,1,1,2700,4590,1334,59
Sao Paulo,75,2,2,0,2,1,0,570,1450,0,19
Sao Paulo,155,3,2,3,4,1,1,2600,11700,667,149
Sao Paulo,260,3,5,4,12,1,0,2227,6000,1468,77
Sao Paulo,80,2,2,1,NaN,0,0,0,1500,184,23
Rio de Janeiro,85,3,1,1,6,1,0,810,1998,87,26
Sao Paulo,120,2,2,2,22,0,1,1400,3500,375,45
Sao Paulo,100,2,2,1,NaN,1,0,0,1970,0,30
Sao Paulo,240,4,5,4,6,0,0,1869,3500,717,45
Sao Paulo,360,7,6,6,NaN,1,0,0,5270,245,80
Sao Paulo,42,1,1,0,NaN,0,0,0,1100,0,17
Sao Paulo,33,1,1,1,14,1,1,600,2800,112,36
Rio de Janeiro,48,1,1,0,1,0,0,626,1020,53,14
Rio de Janeiro,36,1,1,0,5,1,0,350,1130,42,15
Sao Paulo,270,6,3,6,NaN,1,0,0,4500,417,68
Campinas,75,2,1,1,2,1,0,670,1200,121,16
Rio de Janeiro,46,2,1,0,3,0,0,270,1600,0,21
Sao Paulo,350,3,3,3,NaN,0,0,0,10000,1292,151
Porto Alegre,131,3,3,1,10,1,1,1625,1750,121,26
Campinas,90,3,2,1,3,1,0,920,1300,129,17
Rio de Janeiro,26,1,1,0,4,0,0,390,1650,120,22
Rio de Janeiro,44,1,1,0,3,1,1,400,1100,14,15
Sao Paulo,70,2,2,0,NaN,1,0,0,1880,0,29
Belo Horizonte,40,1,1,0,NaN,0,0,0,900,0,15
Belo Horizonte,320,4,2,4,NaN,1,0,0,3200,206,53
Sao Paulo,213,2,2,3,NaN,1,0,0,5150,0,78
Sao Paulo,80,2,1,0,1,0,0,0,1100,0,14
Campinas,70,1,1,0,6,1,0,500,800,30,11
Rio de Janeiro,60,2,1,1,5,1,0,690,1500,25,20
Sao Paulo,270,4,4,4,5,1,0,4500,12850,1834,163
Rio de Janeiro,70,2,1,1,3,1,0,800,1300,44,17
Porto Alegre,300,6,2,2,NaN,1,0,0,6000,242,107
Sao Paulo,220,4,5,3,14,1,1,2050,12000,750,153
Porto Alegre,64,2,2,2,7,1,0,450,1600,34,24
Rio de Janeiro,80,3,3,1,7,0,0,1100,1470,0,19
Sao Paulo,56,1,1,0,9,1,1,625,2500,81,32
Sao Paulo,161,4,3,2,1,1,0,1450,10000,467,127
Sao Paulo,35,1,1,0,NaN,1,0,350,1350,0,18
Sao Paulo,720,4,6,5,NaN,1,1,0,12750,2613,192
Sao Paulo,280,4,5,4,6,0,0,2500,3200,750,41
Porto Alegre,96,3,2,0,2,1,0,408,2100,84,31
Campinas,236,3,4,4,10,1,0,1600,11000,440,140
Sao Paulo,81,3,2,1,4,1,0,204,1510,0,20
Sao Paulo,62,2,1,1,1,1,0,580,1650,92,21
Belo Horizonte,125,3,2,0,2,1,0,150,1200,69,16
Sao Paulo,37,1,1,1,6,1,1,890,4150,110,53
Sao Paulo,60,2,2,1,11,1,0,1680,4000,200,51
Sao Paulo,230,4,2,3,1,1,0,3600,5000,1551,64
Sao Paulo,210,4,5,2,1,1,1,3800,8500,0,108
Sao Paulo,450,4,3,8,NaN,1,0,0,14000,175,211
Sao Paulo,234,3,5,4,NaN,1,1,0,3680,400,56
Belo Horizonte,135,4,3,2,2,0,0,868,2450,308,33
Sao Paulo,395,4,5,3,NaN,1,0,0,6000,122,91
Porto Alegre,92,2,2,1,2,1,0,450,1700,67,25
Sao Paulo,412,3,5,6,21,1,0,2000,3952,459,51
Sao Paulo,42,1,1,1,27,1,0,560,5300,100,68
Sao Paulo,33,1,1,0,12,0,1,385,3000,125,39
Porto Alegre,28,2,1,1,NaN,1,0,0,600,0,11
Sao Paulo,190,4,4,2,NaN,0,0,0,4450,223,67
Sao Paulo,165,4,3,3,10,1,1,2440,6300,1292,80
Porto Alegre,44,1,1,0,5,1,0,355,1200,20,18
Sao Paulo,60,2,1,1,4,1,0,603,1275,109,17
Sao Paulo,380,3,3,2,1,1,0,3580,11000,1084,140
Rio de Janeiro,73,2,1,0,4,1,0,375,830,120,11
Belo Horizonte,19,1,1,0,5,1,0,620,1100,85,15
Campinas,230,3,5,4,6,1,0,1800,7500,0,96
Porto Alegre,37,1,1,1,2,1,0,500,2500,0,37
Sao Paulo,124,3,2,3,7,1,0,1450,6600,300,84
Rio de Janeiro,115,3,2,1,8,1,1,1090,2680,114,35
Campinas,600,3,3,4,NaN,1,0,0,5500,384,83
Rio de Janeiro,700,5,5,4,NaN,1,1,1380,15000,1667,229
Porto Alegre,35,1,1,0,1,1,0,100,815,17,12
Belo Horizonte,15,1,1,0,3,0,1,0,1100,0,15
Campinas,80,3,2,1,2,1,0,570,1450,125,19
Porto Alegre,48,1,1,0,4,1,0,200,700,38,11
Belo Horizonte,96,3,2,1,2,1,0,922,1500,137,20
Sao Paulo,150,3,2,1,7,1,1,1843,6715,340,86
Belo Horizonte,105,3,2,2,2,0,0,1681,3300,390,44
Belo Horizonte,204,4,4,4,22,0,1,2701,10000,760,134
Rio de Janeiro,125,3,1,2,11,1,0,1317,2600,170,33
Rio de Janeiro,50,2,1,0,3,0,0,490,2300,50,30
Sao Paulo,250,3,4,3,NaN,0,0,0,3740,234,57
Sao Paulo,300,3,4,3,7,1,1,3000,2000,1250,26
Sao Paulo,80,2,1,1,NaN,1,0,0,1500,55,23
Rio de Janeiro,130,3,4,1,2,0,0,1200,1400,334,19
Sao Paulo,120,2,3,0,2,1,0,904,3300,195,42
Sao Paulo,540,3,3,4,9,1,0,6200,15000,3500,191
Sao Paulo,23,1,1,0,23,1,0,392,2100,41,27
Sao Paulo,15,1,1,0,NaN,0,1,0,2500,0,32
Sao Paulo,72,1,2,2,19,1,0,900,4000,200,51
Rio de Janeiro,95,3,2,2,7,1,0,985,2300,122,30
Sao Paulo,330,4,5,4,13,1,0,2870,10000,1119,127
Sao Paulo,75,2,2,2,7,0,1,1600,6600,400,84
Sao Paulo,53,1,1,1,4,1,0,690,4398,200,56
Sao Paulo,178,3,2,1,2,0,0,1200,1900,180,25
Sao Paulo,150,3,2,0,NaN,1,0,0,4000,24,61
Sao Paulo,50,2,1,1,4,1,0,520,1200,30,16
Sao Paulo,150,3,2,1,NaN,0,0,0,2500,59,38
Porto Alegre,25,1,1,0,NaN,1,1,286,984,11,15
Sao Paulo,210,3,4,4,13,0,0,3150,12000,1155,153
Belo Horizonte,75,3,2,1,4,1,0,600,1500,75,20
Belo Horizonte,200,2,4,3,12,1,0,1897,15000,827,200
Sao Paulo,350,4,4,0,NaN,1,0,0,8000,989,121
Porto Alegre,49,2,1,1,7,1,0,360,1150,30,17
Porto Alegre,40,1,1,0,4,0,1,0,2000,0,30
Sao Paulo,45,1,1,1,2,0,1,1900,4200,350,54
Sao Paulo,46,1,1,1,8,0,1,900,7600,118,97
Sao Paulo,80,2,2,2,15,1,0,2000,11000,0,140
Sao Paulo,30,1,1,0,3,1,1,400,2850,0,37
Sao Paulo,80,2,2,2,NaN,1,0,50,2200,173,34
Rio de Janeiro,105,2,2,1,10,1,0,1780,1530,134,20
Belo Horizonte,105,3,2,2,7,1,0,1170,2000,219,27
Sao Paulo,114,3,1,0,NaN,1,0,0,2570,150,39
Sao Paulo,200,3,3,4,NaN,1,0,0,7000,425,106
Porto Alegre,120,3,3,2,5,1,0,800,3000,167,44
Sao Paulo,60,2,2,1,11,1,0,647,4000,21,51
Sao Paulo,90,2,1,1,1,1,0,1000,3000,50,39
Rio de Janeiro,53,2,1,0,3,0,0,535,1800,50,24
Sao Paulo,80,2,2,5,NaN,1,0,0,3000,59,46
Campinas,87,4,2,2,4,1,0,784,1600,106,21
Rio de Janeiro,110,3,1,1,1,1,0,557,5000,188,65
Belo Horizonte,113,4,2,1,3,1,0,1587,4000,429,54
Sao Paulo,170,3,2,2,5,0,0,2199,5000,423,64
Sao Paulo,150,3,2,0,1,0,0,700,3000,42,39
Porto Alegre,60,2,2,1,11,1,0,469,1500,51,22
Porto Alegre,43,1,1,0,4,0,1,290,2100,66,31
Sao Paulo,130,3,2,2,4,1,1,800,3500,0,45
Sao Paulo,69,3,2,0,7,1,1,650,1900,185,25
Campinas,306,3,2,2,NaN,1,0,0,2500,422,38
Sao Paulo,187,3,2,3,NaN,1,0,500,3500,193,53
Sao Paulo,385,3,4,3,NaN,1,0,0,9000,1500,136
Sao Paulo,355,4,4,3,NaN,1,0,0,7300,660,110
Porto Alegre,90,2,1,1,2,1,0,405,1100,380,17
Sao Paulo,190,3,4,4,NaN,1,0,0,5000,275,76
Campinas,181,2,1,2,NaN,1,0,0,1400,132,22
Sao Paulo,350,3,5,4,13,1,0,4000,3490,1750,45
Belo Horizonte,168,5,3,2,2,1,0,1443,2900,408,39
Rio de Janeiro,73,2,1,0,1,1,0,1600,2800,204,37
Sao Paulo,378,5,5,4,4,1,0,4000,3000,2000,39
Campinas,60,2,1,1,NaN,1,0,0,1300,180,20
Belo Horizonte,362,4,5,0,19,0,0,4138,15000,1975,200
Sao Paulo,90,3,2,0,NaN,1,0,0,1700,136,26
Rio de Janeiro,42,1,1,0,4,0,1,500,1973,79,26
Rio de Janeiro,56,2,1,1,18,1,0,568,1000,88,13
Sao Paulo,16,1,1,0,1,0,0,0,850,30,11
Sao Paulo,90,2,2,2,15,0,1,1400,10000,0,127
Belo Horizonte,67,1,1,0,13,1,0,375,850,55,12
Sao Paulo,488,4,3,3,NaN,1,0,14130,6400,1214,82
Rio de Janeiro,30,1,1,0,10,1,0,850,1100,60,15
Sao Paulo,290,6,3,4,NaN,1,0,0,8000,1525,121
Sao Paulo,266,3,3,4,10,1,0,4700,6400,1500,82
Campinas,47,2,1,1,4,1,0,260,900,25,12
Rio de Janeiro,590,6,6,2,NaN,1,1,750,8000,975,122
Sao Paulo,900,4,9,8,1,1,0,0,15000,5700,226
Sao Paulo,86,2,1,1,NaN,1,0,0,2200,110,34
Sao Paulo,290,3,3,2,NaN,1,1,0,15000,1000,226
Porto Alegre,84,3,2,2,4,1,0,750,3300,100,49
Sao Paulo,160,3,1,2,NaN,1,0,0,5000,225,76
Sao Paulo,37,1,1,0,3,0,1,470,3500,127,45
Campinas,73,3,1,1,4,1,0,308,850,46,11
Sao Paulo,350,4,5,5,17,1,1,2400,15000,2400,191
Rio de Janeiro,57,1,1,0,2,1,0,200,1100,10,15
Campinas,48,1,1,0,9,1,0,350,650,21,9
Rio de Janeiro,30,1,1,0,8,1,0,390,800,25,11
Campinas,198,6,3,4,NaN,1,0,0,2000,145,31
Porto Alegre,47,1,1,0,2,0,0,300,1000,59,15
Porto Alegre,60,2,1,1,3,1,0,250,800,22,12
